run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230509-11:00:42-115952,runattr,,,configname,General,,
General-0-20230509-11:00:42-115952,runattr,,,datetime,20230509-11:00:42,,
General-0-20230509-11:00:42-115952,runattr,,,datetimef,20230509-110042,,
General-0-20230509-11:00:42-115952,runattr,,,experiment,General,,
General-0-20230509-11:00:42-115952,runattr,,,inifile,omnetpp.ini,,
General-0-20230509-11:00:42-115952,runattr,,,iterationvars,,,
General-0-20230509-11:00:42-115952,runattr,,,iterationvarsd,,,
General-0-20230509-11:00:42-115952,runattr,,,iterationvarsf,,,
General-0-20230509-11:00:42-115952,runattr,,,measurement,,,
General-0-20230509-11:00:42-115952,runattr,,,network,Network,,
General-0-20230509-11:00:42-115952,runattr,,,processid,115952,,
General-0-20230509-11:00:42-115952,runattr,,,repetition,0,,
General-0-20230509-11:00:42-115952,runattr,,,replication,#0,,
General-0-20230509-11:00:42-115952,runattr,,,resultdir,results,,
General-0-20230509-11:00:42-115952,runattr,,,runnumber,0,,
General-0-20230509-11:00:42-115952,runattr,,,seedset,0,,
General-0-20230509-11:00:42-115952,config,,,network,Network,,
General-0-20230509-11:00:42-115952,config,,,sim-time-limit,200s,,
General-0-20230509-11:00:42-115952,config,,,Network.nodeTx.gen.generationInterval,exponential(0.6),,
General-0-20230509-11:00:42-115952,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230509-11:00:42-115952,config,,,Network.queue.bufferSize,200,,
General-0-20230509-11:00:42-115952,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20230509-11:00:42-115952,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20230509-11:00:42-115952,config,,,Network.queue.serviceTime,200,,
General-0-20230509-11:00:42-115952,config,,,Network.nodeTx.queue.serviceTime,200,,
General-0-20230509-11:00:42-115952,config,,,Network.nodeRx.queue.serviceTime,200,,
