run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230509-15:09:12-126620,runattr,,,configname,General,,
General-0-20230509-15:09:12-126620,runattr,,,datetime,20230509-15:09:12,,
General-0-20230509-15:09:12-126620,runattr,,,datetimef,20230509-150912,,
General-0-20230509-15:09:12-126620,runattr,,,experiment,General,,
General-0-20230509-15:09:12-126620,runattr,,,inifile,omnetpp.ini,,
General-0-20230509-15:09:12-126620,runattr,,,iterationvars,,,
General-0-20230509-15:09:12-126620,runattr,,,iterationvarsd,,,
General-0-20230509-15:09:12-126620,runattr,,,iterationvarsf,,,
General-0-20230509-15:09:12-126620,runattr,,,measurement,,,
General-0-20230509-15:09:12-126620,runattr,,,network,Network,,
General-0-20230509-15:09:12-126620,runattr,,,processid,126620,,
General-0-20230509-15:09:12-126620,runattr,,,repetition,0,,
General-0-20230509-15:09:12-126620,runattr,,,replication,#0,,
General-0-20230509-15:09:12-126620,runattr,,,resultdir,results,,
General-0-20230509-15:09:12-126620,runattr,,,runnumber,0,,
General-0-20230509-15:09:12-126620,runattr,,,seedset,0,,
General-0-20230509-15:09:12-126620,config,,,network,Network,,
General-0-20230509-15:09:12-126620,config,,,sim-time-limit,200s,,
General-0-20230509-15:09:12-126620,config,,,Network.nodeTx.gen.generationInterval,exponential(1),,
General-0-20230509-15:09:12-126620,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20230509-15:09:12-126620,config,,,Network.queue.bufferSize,200,,
General-0-20230509-15:09:12-126620,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20230509-15:09:12-126620,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20230509-15:09:12-126620,config,,,Network.queue.serviceTime,200,,
General-0-20230509-15:09:12-126620,config,,,Network.nodeTx.queue.serviceTime,200,,
General-0-20230509-15:09:12-126620,config,,,Network.nodeRx.queue.serviceTime,200,,
